Name,Roll No,Batch,Department
Student_78,Roll78,23,Business Analytics
Student_79,Roll79,23,Computer Science
Student_80,Roll80,21,Artificial Intelligence
Student_81,Roll81,23,Electrical Engineering
Student_82,Roll82,21,Business Analytics
Student_83,Roll83,21,Software Engineering
Student_84,Roll84,24,Electrical Engineering
Student_85,Roll85,23,Artificial Intelligence
Student_86,Roll86,24,Computer Science
Student_87,Roll87,21,Business Analytics
Student_88,Roll88,22,Business Analytics
Student_89,Roll89,24,Software Engineering
Student_90,Roll90,23,Computer Science
Student_91,Roll91,21,Electrical Engineering
Student_92,Roll92,23,Software Engineering
Student_93,Roll93,22,Software Engineering
Student_94,Roll94,21,Software Engineering
Student_95,Roll95,23,Business Analytics
Student_96,Roll96,24,Artificial Intelligence
Student_97,Roll97,24,Electrical Engineering
Student_98,Roll98,21,Software Engineering
Student_99,Roll99,22,Artificial Intelligence
Student_100,Roll100,21,Electrical Engineering
Student_101,Roll101,21,Artificial Intelligence
Student_102,Roll102,23,Artificial Intelligence
Student_103,Roll103,24,Software Engineering
Student_104,Roll104,22,Software Engineering
Student_105,Roll105,24,Software Engineering
Student_106,Roll106,22,Software Engineering
Student_107,Roll107,24,Software Engineering
Student_108,Roll108,21,Computer Science
Student_109,Roll109,24,Software Engineering
Student_110,Roll110,22,Business Analytics
Student_111,Roll111,21,Computer Science
Student_112,Roll112,21,Artificial Intelligence
Student_113,Roll113,24,Electrical Engineering
Student_114,Roll114,22,Electrical Engineering
Student_115,Roll115,24,Business Analytics
Student_116,Roll116,22,Artificial Intelligence
Student_117,Roll117,22,Software Engineering
Student_118,Roll118,24,Computer Science
Student_119,Roll119,22,Business Analytics
Student_120,Roll120,21,Artificial Intelligence
Student_121,Roll121,22,Software Engineering
Student_122,Roll122,23,Software Engineering
Student_123,Roll123,22,Computer Science
Student_124,Roll124,24,Artificial Intelligence
Student_125,Roll125,24,Artificial Intelligence
Student_126,Roll126,22,Computer Science
Student_127,Roll127,21,Software Engineering
Student_128,Roll128,22,Software Engineering
Student_129,Roll129,23,Software Engineering
Student_130,Roll130,21,Software Engineering
Student_131,Roll131,23,Business Analytics
Student_132,Roll132,22,Artificial Intelligence
Student_133,Roll133,23,Software Engineering
Student_134,Roll134,21,Software Engineering
Student_135,Roll135,22,Computer Science
Student_136,Roll136,24,Software Engineering
Student_137,Roll137,24,Computer Science
Student_138,Roll138,24,Artificial Intelligence
Student_139,Roll139,23,Software Engineering
Student_140,Roll140,23,Business Analytics
Student_141,Roll141,21,Electrical Engineering
Student_142,Roll142,22,Computer Science
Student_143,Roll143,21,Artificial Intelligence
Student_144,Roll144,23,Business Analytics
Student_145,Roll145,24,Artificial Intelligence
Student_146,Roll146,22,Electrical Engineering
Student_147,Roll147,22,Business Analytics
Student_148,Roll148,21,Electrical Engineering
Student_149,Roll149,24,Computer Science
Student_150,Roll150,22,Electrical Engineering
Student_151,Roll151,24,Computer Science
Student_152,Roll152,21,Artificial Intelligence
Student_153,Roll153,24,Electrical Engineering
Student_154,Roll154,23,Artificial Intelligence
Student_155,Roll155,24,Artificial Intelligence
Student_156,Roll156,24,Artificial Intelligence
Student_157,Roll157,24,Computer Science
Student_158,Roll158,21,Business Analytics
Student_159,Roll159,22,Business Analytics
Student_160,Roll160,23,Electrical Engineering
Student_161,Roll161,22,Software Engineering
Student_162,Roll162,22,Software Engineering
Student_163,Roll163,22,Software Engineering
Student_164,Roll164,22,Computer Science
Student_165,Roll165,23,Computer Science
Student_166,Roll166,22,Software Engineering
Student_167,Roll167,24,Electrical Engineering
Student_168,Roll168,23,Business Analytics
Student_169,Roll169,21,Computer Science
Student_170,Roll170,22,Business Analytics
Student_171,Roll171,23,Computer Science
Student_172,Roll172,23,Software Engineering
Student_173,Roll173,22,Computer Science
Student_174,Roll174,21,Software Engineering
Student_175,Roll175,22,Artificial Intelligence
Student_176,Roll176,22,Business Analytics
Student_177,Roll177,22,Business Analytics
Student_178,Roll178,21,Business Analytics
Student_179,Roll179,23,Artificial Intelligence
Student_180,Roll180,24,Business Analytics
Student_181,Roll181,23,Computer Science
Student_182,Roll182,21,Computer Science
Student_183,Roll183,22,Artificial Intelligence
Student_184,Roll184,24,Computer Science
Student_185,Roll185,22,Software Engineering
Student_186,Roll186,21,Business Analytics
Student_187,Roll187,23,Artificial Intelligence
Student_188,Roll188,24,Electrical Engineering
Student_189,Roll189,23,Computer Science
Student_190,Roll190,24,Business Analytics
Student_191,Roll191,22,Electrical Engineering
Student_192,Roll192,22,Electrical Engineering
Student_193,Roll193,23,Computer Science
Student_194,Roll194,24,Business Analytics
Student_195,Roll195,24,Software Engineering
Student_196,Roll196,23,Software Engineering
Student_197,Roll197,21,Electrical Engineering
Student_198,Roll198,21,Computer Science
Student_199,Roll199,21,Software Engineering
Student_200,Roll200,23,Business Analytics
Student_201,Roll201,23,Software Engineering
Student_202,Roll202,22,Software Engineering
Student_203,Roll203,24,Artificial Intelligence
Student_204,Roll204,21,Electrical Engineering
Student_205,Roll205,22,Software Engineering
Student_206,Roll206,24,Artificial Intelligence
Student_207,Roll207,23,Electrical Engineering
Student_208,Roll208,24,Electrical Engineering
Student_209,Roll209,23,Business Analytics
Student_210,Roll210,24,Electrical Engineering
Student_211,Roll211,23,Software Engineering
Student_212,Roll212,21,Electrical Engineering
Student_213,Roll213,23,Business Analytics
Student_214,Roll214,21,Software Engineering
Student_215,Roll215,24,Artificial Intelligence
Student_216,Roll216,22,Electrical Engineering
Student_217,Roll217,23,Electrical Engineering
Student_218,Roll218,21,Artificial Intelligence
Student_219,Roll219,21,Software Engineering
Student_220,Roll220,21,Business Analytics
Student_221,Roll221,24,Computer Science
Student_222,Roll222,22,Artificial Intelligence
Student_223,Roll223,21,Computer Science
Student_224,Roll224,21,Artificial Intelligence
Student_225,Roll225,21,Electrical Engineering
Student_226,Roll226,22,Computer Science
Student_227,Roll227,22,Business Analytics
Student_228,Roll228,21,Computer Science
Student_229,Roll229,23,Artificial Intelligence
Student_230,Roll230,24,Software Engineering
Student_231,Roll231,24,Electrical Engineering
Student_232,Roll232,23,Electrical Engineering
Student_233,Roll233,23,Business Analytics
Student_234,Roll234,21,Artificial Intelligence
Student_235,Roll235,21,Artificial Intelligence
Student_236,Roll236,21,Electrical Engineering
Student_237,Roll237,22,Artificial Intelligence
Student_238,Roll238,24,Artificial Intelligence
Student_239,Roll239,21,Electrical Engineering
Student_240,Roll240,21,Computer Science
Student_241,Roll241,22,Electrical Engineering
Student_242,Roll242,21,Electrical Engineering
Student_243,Roll243,21,Artificial Intelligence
Student_244,Roll244,23,Business Analytics
Student_245,Roll245,22,Artificial Intelligence
Student_246,Roll246,22,Software Engineering
Student_247,Roll247,21,Business Analytics
Student_248,Roll248,22,Business Analytics
Student_249,Roll249,21,Software Engineering
Student_250,Roll250,24,Artificial Intelligence
Student_251,Roll251,24,Computer Science
Student_252,Roll252,22,Artificial Intelligence
Student_253,Roll253,23,Electrical Engineering
Student_254,Roll254,24,Software Engineering
Student_255,Roll255,21,Software Engineering
Student_256,Roll256,21,Artificial Intelligence
Student_257,Roll257,21,Computer Science
Student_258,Roll258,22,Electrical Engineering
Student_259,Roll259,22,Computer Science
Student_260,Roll260,24,Artificial Intelligence
Student_261,Roll261,23,Software Engineering
Student_262,Roll262,22,Software Engineering
Student_263,Roll263,22,Software Engineering
Student_264,Roll264,23,Artificial Intelligence
Student_265,Roll265,22,Electrical Engineering
Student_266,Roll266,22,Artificial Intelligence
Student_267,Roll267,22,Software Engineering
Student_268,Roll268,21,Software Engineering
Student_269,Roll269,21,Software Engineering
Student_270,Roll270,24,Business Analytics
Student_271,Roll271,21,Artificial Intelligence
Student_272,Roll272,21,Business Analytics
Student_273,Roll273,23,Software Engineering
Student_274,Roll274,23,Software Engineering
Student_275,Roll275,23,Business Analytics
Student_276,Roll276,24,Software Engineering
Student_277,Roll277,23,Software Engineering
Student_278,Roll278,21,Electrical Engineering
Student_279,Roll279,21,Business Analytics
Student_280,Roll280,21,Software Engineering
Student_281,Roll281,24,Business Analytics
Student_282,Roll282,24,Software Engineering
Student_283,Roll283,22,Software Engineering
Student_284,Roll284,21,Artificial Intelligence
Student_285,Roll285,22,Computer Science
Student_286,Roll286,22,Software Engineering
Student_287,Roll287,21,Artificial Intelligence
Student_288,Roll288,23,Software Engineering
Student_289,Roll289,24,Computer Science
Student_290,Roll290,22,Business Analytics
Student_291,Roll291,24,Electrical Engineering
Student_292,Roll292,23,Software Engineering
Student_293,Roll293,24,Artificial Intelligence
Student_294,Roll294,24,Artificial Intelligence
Student_295,Roll295,24,Software Engineering
Student_296,Roll296,23,Software Engineering
Student_297,Roll297,23,Computer Science
Student_298,Roll298,24,Business Analytics
Student_299,Roll299,22,Artificial Intelligence
Student_300,Roll300,21,Business Analytics
Student_301,Roll301,22,Electrical Engineering
Student_302,Roll302,24,Artificial Intelligence
Student_303,Roll303,21,Artificial Intelligence
Student_304,Roll304,22,Computer Science
Student_305,Roll305,22,Artificial Intelligence
Student_306,Roll306,24,Artificial Intelligence
Student_307,Roll307,23,Electrical Engineering
Student_308,Roll308,24,Electrical Engineering
Student_309,Roll309,23,Business Analytics
Student_310,Roll310,21,Business Analytics
Student_311,Roll311,22,Business Analytics
Student_312,Roll312,23,Computer Science
Student_313,Roll313,21,Electrical Engineering
Student_314,Roll314,24,Computer Science
Student_315,Roll315,22,Artificial Intelligence
Student_316,Roll316,22,Business Analytics
Student_317,Roll317,22,Artificial Intelligence
Student_318,Roll318,22,Computer Science
Student_319,Roll319,24,Electrical Engineering
Student_320,Roll320,22,Software Engineering
Student_321,Roll321,21,Business Analytics
Student_322,Roll322,21,Software Engineering
Student_323,Roll323,23,Computer Science
Student_324,Roll324,22,Computer Science
Student_325,Roll325,24,Artificial Intelligence
Student_326,Roll326,22,Computer Science
Student_327,Roll327,24,Artificial Intelligence
Student_328,Roll328,22,Artificial Intelligence
Student_329,Roll329,21,Software Engineering
Student_330,Roll330,21,Business Analytics
Student_331,Roll331,23,Computer Science
Student_332,Roll332,21,Business Analytics
Student_333,Roll333,23,Business Analytics
Student_334,Roll334,22,Artificial Intelligence
Student_335,Roll335,23,Business Analytics
Student_336,Roll336,24,Computer Science
Student_337,Roll337,23,Software Engineering
Student_338,Roll338,23,Business Analytics
Student_339,Roll339,23,Artificial Intelligence
Student_340,Roll340,22,Business Analytics
Student_341,Roll341,21,Business Analytics
Student_342,Roll342,24,Software Engineering
Student_343,Roll343,24,Business Analytics
Student_344,Roll344,22,Artificial Intelligence
Student_345,Roll345,22,Business Analytics
Student_346,Roll346,21,Business Analytics
Student_347,Roll347,21,Computer Science
Student_348,Roll348,21,Software Engineering
Student_349,Roll349,22,Electrical Engineering
Student_350,Roll350,22,Artificial Intelligence
Student_351,Roll351,22,Business Analytics
Student_352,Roll352,23,Business Analytics
Student_353,Roll353,24,Artificial Intelligence
Student_354,Roll354,22,Artificial Intelligence
Student_355,Roll355,23,Computer Science
Student_356,Roll356,23,Electrical Engineering
Student_357,Roll357,22,Business Analytics
Student_358,Roll358,24,Business Analytics
Student_359,Roll359,23,Software Engineering
Student_360,Roll360,22,Business Analytics
Student_361,Roll361,24,Computer Science
Student_362,Roll362,21,Business Analytics
Student_363,Roll363,23,Business Analytics
Student_364,Roll364,22,Business Analytics
Student_365,Roll365,23,Software Engineering
Student_366,Roll366,21,Computer Science
Student_367,Roll367,22,Software Engineering
Student_368,Roll368,21,Business Analytics
Student_369,Roll369,22,Business Analytics
Student_370,Roll370,22,Computer Science
Student_371,Roll371,23,Software Engineering
Student_372,Roll372,23,Software Engineering
Student_373,Roll373,23,Electrical Engineering
Student_374,Roll374,23,Computer Science
Student_375,Roll375,24,Electrical Engineering
Student_376,Roll376,22,Artificial Intelligence
Student_377,Roll377,23,Software Engineering
Student_378,Roll378,21,Computer Science
Student_379,Roll379,21,Business Analytics
Student_380,Roll380,22,Software Engineering
Student_381,Roll381,22,Software Engineering
Student_382,Roll382,22,Software Engineering
Student_383,Roll383,23,Electrical Engineering
Student_384,Roll384,21,Computer Science
Student_385,Roll385,22,Artificial Intelligence
Student_386,Roll386,21,Business Analytics
Student_387,Roll387,21,Business Analytics
Student_388,Roll388,23,Business Analytics
Student_389,Roll389,22,Computer Science
Student_390,Roll390,22,Electrical Engineering
Student_391,Roll391,23,Computer Science
Student_392,Roll392,22,Software Engineering
Student_393,Roll393,22,Electrical Engineering
Student_394,Roll394,24,Computer Science
Student_395,Roll395,21,Business Analytics
Student_396,Roll396,24,Artificial Intelligence
Student_397,Roll397,24,Electrical Engineering
Student_398,Roll398,23,Electrical Engineering
Student_399,Roll399,22,Electrical Engineering
Student_400,Roll400,23,Business Analytics
Student_401,Roll401,21,Business Analytics
Student_402,Roll402,24,Computer Science
Student_403,Roll403,23,Software Engineering
Student_404,Roll404,22,Artificial Intelligence
Student_405,Roll405,21,Software Engineering
Student_406,Roll406,24,Software Engineering
Student_407,Roll407,24,Business Analytics
Student_408,Roll408,24,Business Analytics
Student_409,Roll409,24,Artificial Intelligence
Student_410,Roll410,22,Computer Science
Student_411,Roll411,22,Computer Science
Student_412,Roll412,22,Electrical Engineering
Student_413,Roll413,24,Artificial Intelligence
Student_414,Roll414,23,Business Analytics
Student_415,Roll415,21,Software Engineering
Student_416,Roll416,21,Software Engineering
Student_417,Roll417,21,Electrical Engineering
Student_418,Roll418,23,Business Analytics
Student_419,Roll419,24,Artificial Intelligence
Student_420,Roll420,23,Computer Science
Student_421,Roll421,24,Software Engineering
Student_422,Roll422,23,Electrical Engineering
Student_423,Roll423,24,Computer Science
Student_424,Roll424,23,Electrical Engineering
Student_425,Roll425,23,Business Analytics
Student_426,Roll426,24,Electrical Engineering
Student_427,Roll427,23,Business Analytics
Student_428,Roll428,21,Electrical Engineering
Student_429,Roll429,24,Electrical Engineering
Student_430,Roll430,22,Software Engineering
Student_431,Roll431,24,Electrical Engineering
Student_432,Roll432,24,Business Analytics
Student_433,Roll433,21,Electrical Engineering
Student_434,Roll434,21,Artificial Intelligence
Student_435,Roll435,23,Business Analytics
Student_436,Roll436,23,Computer Science
Student_437,Roll437,24,Business Analytics
Student_438,Roll438,24,Electrical Engineering
Student_439,Roll439,21,Software Engineering
Student_440,Roll440,24,Computer Science
Student_441,Roll441,23,Electrical Engineering
Student_442,Roll442,23,Computer Science
Student_443,Roll443,23,Computer Science
Student_444,Roll444,23,Computer Science
Student_445,Roll445,22,Computer Science
Student_446,Roll446,21,Artificial Intelligence
Student_447,Roll447,21,Artificial Intelligence
Student_448,Roll448,24,Business Analytics
Student_449,Roll449,21,Business Analytics
Student_450,Roll450,22,Artificial Intelligence
Student_451,Roll451,22,Artificial Intelligence
Student_452,Roll452,23,Business Analytics
Student_453,Roll453,21,Artificial Intelligence
Student_454,Roll454,22,Artificial Intelligence
Student_455,Roll455,22,Electrical Engineering
Student_456,Roll456,21,Software Engineering
Student_457,Roll457,21,Business Analytics
Student_458,Roll458,22,Electrical Engineering
Student_459,Roll459,23,Software Engineering
Student_460,Roll460,21,Software Engineering
Student_461,Roll461,23,Software Engineering
Student_462,Roll462,23,Software Engineering
Student_463,Roll463,21,Artificial Intelligence
Student_464,Roll464,22,Artificial Intelligence
Student_465,Roll465,23,Artificial Intelligence
Student_466,Roll466,23,Artificial Intelligence
Student_467,Roll467,23,Computer Science
Student_468,Roll468,23,Business Analytics
Student_469,Roll469,21,Artificial Intelligence
Student_470,Roll470,23,Business Analytics
Student_471,Roll471,22,Artificial Intelligence
Student_472,Roll472,21,Artificial Intelligence
Student_473,Roll473,23,Computer Science
Student_474,Roll474,23,Electrical Engineering
Student_475,Roll475,21,Software Engineering
Student_476,Roll476,24,Software Engineering
Student_477,Roll477,22,Electrical Engineering
Student_478,Roll478,21,Electrical Engineering
Student_479,Roll479,24,Business Analytics
Student_480,Roll480,21,Computer Science
Student_481,Roll481,21,Artificial Intelligence
Student_482,Roll482,21,Business Analytics
Student_483,Roll483,21,Computer Science
Student_484,Roll484,21,Computer Science
Student_485,Roll485,24,Electrical Engineering
Student_486,Roll486,24,Artificial Intelligence
Student_487,Roll487,24,Software Engineering
Student_488,Roll488,21,Artificial Intelligence
Student_489,Roll489,24,Artificial Intelligence
Student_490,Roll490,21,Business Analytics
Student_491,Roll491,23,Business Analytics
Student_492,Roll492,21,Software Engineering
Student_493,Roll493,22,Software Engineering
Student_494,Roll494,24,Electrical Engineering
Student_495,Roll495,21,Computer Science
Student_496,Roll496,23,Software Engineering
Student_497,Roll497,21,Computer Science
Student_498,Roll498,24,Computer Science
Student_499,Roll499,22,Business Analytics
Student_500,Roll500,24,Software Engineering
Student_501,Roll501,23,Software Engineering
Student_502,Roll502,21,Business Analytics
Student_503,Roll503,22,Business Analytics
Student_504,Roll504,21,Computer Science
Student_505,Roll505,22,Artificial Intelligence
Student_506,Roll506,23,Computer Science
Student_507,Roll507,22,Software Engineering
Student_508,Roll508,23,Software Engineering
Student_509,Roll509,24,Software Engineering
Student_510,Roll510,21,Electrical Engineering
Student_511,Roll511,21,Electrical Engineering
Student_512,Roll512,23,Electrical Engineering
Student_513,Roll513,22,Electrical Engineering
Student_514,Roll514,24,Artificial Intelligence
Student_515,Roll515,22,Software Engineering
Student_516,Roll516,21,Computer Science
Student_517,Roll517,22,Artificial Intelligence
Student_518,Roll518,21,Computer Science
Student_519,Roll519,24,Computer Science
Student_520,Roll520,24,Artificial Intelligence
Student_521,Roll521,24,Software Engineering
Student_522,Roll522,21,Business Analytics
Student_523,Roll523,23,Software Engineering
Student_524,Roll524,24,Software Engineering
Student_525,Roll525,23,Electrical Engineering
Student_526,Roll526,23,Computer Science
Student_527,Roll527,22,Computer Science
Student_528,Roll528,24,Computer Science
Student_529,Roll529,22,Artificial Intelligence
Student_530,Roll530,24,Business Analytics
Student_531,Roll531,22,Electrical Engineering
Student_532,Roll532,22,Electrical Engineering
Student_533,Roll533,24,Artificial Intelligence
Student_534,Roll534,23,Software Engineering
Student_535,Roll535,21,Computer Science
Student_536,Roll536,21,Software Engineering
Student_537,Roll537,22,Electrical Engineering
Student_538,Roll538,21,Electrical Engineering
Student_539,Roll539,21,Electrical Engineering
Student_540,Roll540,24,Electrical Engineering
Student_541,Roll541,21,Software Engineering
Student_542,Roll542,24,Electrical Engineering
Student_543,Roll543,21,Software Engineering
Student_544,Roll544,22,Artificial Intelligence
Student_545,Roll545,22,Artificial Intelligence
Student_546,Roll546,22,Software Engineering
Student_547,Roll547,22,Electrical Engineering
Student_548,Roll548,22,Business Analytics
Student_549,Roll549,23,Electrical Engineering
Student_550,Roll550,23,Software Engineering
Student_551,Roll551,21,Electrical Engineering
Student_552,Roll552,23,Software Engineering
Student_553,Roll553,24,Computer Science
Student_554,Roll554,23,Artificial Intelligence
Student_555,Roll555,23,Business Analytics
Student_556,Roll556,22,Artificial Intelligence
Student_557,Roll557,21,Artificial Intelligence
Student_558,Roll558,21,Artificial Intelligence
Student_559,Roll559,24,Computer Science
Student_560,Roll560,21,Business Analytics
Student_561,Roll561,22,Computer Science
Student_562,Roll562,23,Electrical Engineering
Student_563,Roll563,24,Business Analytics
Student_564,Roll564,23,Business Analytics
Student_565,Roll565,23,Electrical Engineering
Student_566,Roll566,24,Software Engineering
Student_567,Roll567,21,Business Analytics
Student_568,Roll568,22,Business Analytics
Student_569,Roll569,21,Software Engineering
Student_570,Roll570,21,Business Analytics
Student_571,Roll571,24,Software Engineering
Student_572,Roll572,23,Artificial Intelligence
Student_573,Roll573,23,Business Analytics
Student_574,Roll574,21,Software Engineering
Student_575,Roll575,22,Electrical Engineering
Student_576,Roll576,23,Software Engineering
Student_577,Roll577,21,Business Analytics
Student_578,Roll578,23,Artificial Intelligence
Student_579,Roll579,21,Electrical Engineering
Student_580,Roll580,21,Software Engineering
Student_581,Roll581,21,Artificial Intelligence
Student_582,Roll582,23,Electrical Engineering
Student_583,Roll583,24,Artificial Intelligence
Student_584,Roll584,24,Computer Science
Student_585,Roll585,23,Computer Science
Student_586,Roll586,24,Electrical Engineering
Student_587,Roll587,23,Software Engineering
Student_588,Roll588,22,Electrical Engineering
Student_589,Roll589,23,Computer Science
Student_590,Roll590,23,Software Engineering
Student_591,Roll591,21,Business Analytics
Student_592,Roll592,23,Electrical Engineering
Student_593,Roll593,23,Electrical Engineering
Student_594,Roll594,24,Computer Science
Student_595,Roll595,23,Computer Science
Student_596,Roll596,21,Software Engineering
Student_597,Roll597,21,Artificial Intelligence
Student_598,Roll598,24,Business Analytics
Student_599,Roll599,21,Artificial Intelligence
Student_600,Roll600,22,Business Analytics
Student_601,Roll601,21,Software Engineering
Student_602,Roll602,23,Computer Science
Student_603,Roll603,22,Business Analytics
Student_604,Roll604,24,Electrical Engineering
Student_605,Roll605,24,Computer Science
Student_606,Roll606,22,Software Engineering
Student_607,Roll607,24,Business Analytics
Student_608,Roll608,24,Electrical Engineering
Student_609,Roll609,21,Artificial Intelligence
Student_610,Roll610,22,Business Analytics
Student_611,Roll611,21,Software Engineering
Student_612,Roll612,23,Electrical Engineering
Student_613,Roll613,23,Business Analytics
Student_614,Roll614,21,Business Analytics
Student_615,Roll615,24,Business Analytics
Student_616,Roll616,22,Artificial Intelligence
Student_617,Roll617,23,Software Engineering
Student_618,Roll618,22,Artificial Intelligence
Student_619,Roll619,22,Artificial Intelligence
Student_620,Roll620,21,Business Analytics
Student_621,Roll621,23,Electrical Engineering
Student_622,Roll622,24,Business Analytics
Student_623,Roll623,21,Business Analytics
Student_624,Roll624,22,Artificial Intelligence
Student_625,Roll625,22,Artificial Intelligence
Student_626,Roll626,21,Computer Science
Student_627,Roll627,21,Artificial Intelligence
Student_628,Roll628,22,Business Analytics
Student_629,Roll629,22,Artificial Intelligence
Student_630,Roll630,23,Business Analytics
Student_631,Roll631,24,Business Analytics
Student_632,Roll632,21,Computer Science
Student_633,Roll633,21,Computer Science
Student_634,Roll634,22,Software Engineering
Student_635,Roll635,21,Artificial Intelligence
Student_636,Roll636,22,Artificial Intelligence
Student_637,Roll637,23,Electrical Engineering
Student_638,Roll638,22,Artificial Intelligence
Student_639,Roll639,23,Business Analytics
Student_640,Roll640,24,Software Engineering
Student_641,Roll641,21,Electrical Engineering
Student_642,Roll642,21,Business Analytics
Student_643,Roll643,24,Electrical Engineering
Student_644,Roll644,22,Electrical Engineering
Student_645,Roll645,21,Electrical Engineering
Student_646,Roll646,21,Software Engineering
Student_647,Roll647,24,Electrical Engineering
Student_648,Roll648,24,Electrical Engineering
Student_649,Roll649,21,Artificial Intelligence
Student_650,Roll650,24,Business Analytics
Student_651,Roll651,22,Software Engineering
Student_652,Roll652,24,Computer Science
Student_653,Roll653,24,Software Engineering
Student_654,Roll654,24,Computer Science
Student_655,Roll655,23,Artificial Intelligence
Student_656,Roll656,22,Artificial Intelligence
Student_657,Roll657,23,Computer Science
Student_658,Roll658,24,Computer Science
Student_659,Roll659,21,Business Analytics
Student_660,Roll660,23,Software Engineering
Student_661,Roll661,23,Computer Science
Student_662,Roll662,24,Computer Science
Student_663,Roll663,22,Computer Science
Student_664,Roll664,21,Software Engineering
Student_665,Roll665,23,Electrical Engineering
Student_666,Roll666,24,Artificial Intelligence
Student_667,Roll667,24,Electrical Engineering
Student_668,Roll668,22,Software Engineering
Student_669,Roll669,22,Business Analytics
Student_670,Roll670,22,Electrical Engineering
Student_671,Roll671,24,Electrical Engineering
Student_672,Roll672,23,Electrical Engineering
Student_673,Roll673,21,Business Analytics
Student_674,Roll674,22,Electrical Engineering
Student_675,Roll675,22,Software Engineering
Student_676,Roll676,23,Electrical Engineering
Student_677,Roll677,23,Computer Science
Student_678,Roll678,21,Electrical Engineering
Student_679,Roll679,24,Software Engineering
Student_680,Roll680,23,Software Engineering
Student_681,Roll681,21,Artificial Intelligence
Student_682,Roll682,21,Electrical Engineering
Student_683,Roll683,22,Electrical Engineering
Student_684,Roll684,21,Business Analytics
Student_685,Roll685,24,Software Engineering
Student_686,Roll686,23,Software Engineering
Student_687,Roll687,23,Electrical Engineering
Student_688,Roll688,23,Electrical Engineering
Student_689,Roll689,23,Electrical Engineering
Student_690,Roll690,22,Business Analytics
Student_691,Roll691,21,Software Engineering
Student_692,Roll692,21,Artificial Intelligence
Student_693,Roll693,22,Artificial Intelligence
Student_694,Roll694,24,Computer Science
Student_695,Roll695,21,Business Analytics
Student_696,Roll696,23,Computer Science
Student_697,Roll697,21,Electrical Engineering
Student_698,Roll698,23,Software Engineering
Student_699,Roll699,23,Computer Science
Student_700,Roll700,21,Electrical Engineering
Student_701,Roll701,23,Computer Science
Student_702,Roll702,23,Software Engineering
Student_703,Roll703,24,Artificial Intelligence
Student_704,Roll704,23,Software Engineering
